"","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk3422_pilon.23",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353
"Acerv_evm.TU.Segkk1241_pilon.2",42,0,2,0,19,24,41,10,0,6,24,56,11,35,16
"Acerv_evm.TU.Segkk1268_pilon.2",25,0,7,6,27,35,30,43,10,12,35,50,14,39,28
"Acerv_evm.TU.Segkk3454_pilon.22",59,0,0,0,26,54,30,37,0,0,18,28,24,44,11
"Acerv_evm.TU.Segkk1157_pilon.2",57,0,917,634,51,112,32,67,544,795,28,44,33,100,27
"Acerv_evm.TU.Segkk2136_pilon.1",20,0,1,1,14,20,14,17,1,3,14,27,11,29,13
"Acerv_evm.TU.Segkk1630_pilon.6",112,0,10,15,99,178,97,80,8,5,56,134,48,179,62
"Acerv_evm.TU.Segkk1011_pilon.49",31,0,0,2,30,71,30,16,2,4,13,40,29,73,22
"Acerv_evm.TU.Segkk1945_pilon.2",34,0,8,12,16,18,17,18,0,11,12,19,7,24,12
"Acerv_evm.TU.Segkk1793_pilon.1",36,0,6,9,24,38,25,41,6,13,33,37,14,37,13
"Acerv_evm.TU.Segkk1677_pilon.1",85,7,48,38,70,158,69,99,55,74,70,86,45,112,37
"Acerv_evm.TU.Segkk3394_pilon.16",311,12,28,12,288,513,246,188,6,6,152,155,186,521,123
"Acerv_evm.TU.Segkk2656_pilon.3",23,0,0,0,29,44,22,60,1,2,31,15,13,63,15
"Acerv_evm.TU.Segkk3267_pilon.1",31,0,3,7,35,40,32,26,0,3,22,24,17,56,18
"Acerv_evm.TU.Segkk3199_pilon.2",25,0,2,0,17,26,21,29,1,1,19,36,9,25,16
"Acerv_evm.TU.Segkk119_pilon.17",110,0,35,36,108,186,75,283,28,36,72,50,81,132,38
"Acerv_evm.TU.Segkk1240_pilon.3",27,3,3,1,29,42,32,29,1,3,19,44,16,37,19
"Acerv_evm.TU.Segkk2238_pilon.1",35,0,5,3,19,37,23,34,8,11,28,35,17,41,10
"Acerv_evm.TU.Segkk1169_pilon.5",750,0,0,0,520,907,627,727,0,0,578,810,308,962,373
"Acerv_evm.TU.Segkk2424_pilon.11",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71
"Acerv_evm.TU.Segkk3420_pilon.1",0,0,67,95,21,45,21,19,44,79,0,27,19,32,0
"Acerv_evm.TU.Segkk3834_pilon.1",43,0,0,7,19,50,29,21,0,15,8,50,16,44,21
"Acerv_evm.TU.Segkk3087_pilon.2",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12
