"","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP","Treatment_Compare"
"STRG.15869",31,20,12,26,24,32,14,27,17,9,22,38,21,32,32,"CvsT1"
"Mcavernosa30573",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"CvsT1"
"Mcavernosa30572",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"CvsT1"
"Mcavernosa30575",7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,"CvsT1"
"Mcavernosa30574",13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,"CvsT1"
"Mcavernosa05196",51,13,1525,2738,15,27,68,22,12,33,16,18,47,300,13,"CvsT1"
"Mcavernosa30729",325,252,156,352,123,328,221,292,286,198,285,324,216,259,274,"CvsT1"
"Mcavernosa03628",34,28,8,24,13,18,15,115,9,29,16,19,17,176,64,"CvsT1"
"Mcavernosa26093",78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,"CvsT1"
"Mcavernosa24709",422,347,137,206,310,521,219,320,124,60,560,390,281,353,368,"CvsT1"
"Mcavernosa07006",37,40,6,31,25,64,49,33,7,11,31,110,27,57,56,"CvsT1"
"Mcavernosa13956",7,8,135,167,11,21,0,14,363,34,8,20,34,43,5,"CvsT1"
"Mcavernosa30571",8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,"CvsT1"
"Mcavernosa30570",12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,"CvsT1"
"Mcavernosa08717",109,63,46,77,54,84,55,65,50,22,64,78,63,109,67,"CvsT1"
"Mcavernosa18547",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,"CvsT1"
"Mcavernosa12043",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540,"CvsT1"
"Mcavernosa01252",90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,"CvsT1"
"Mcavernosa26827",40,48,22,33,9,37,97,628,3,0,49,50,58,128,155,"CvsT1"
