"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","5_2","10_2","13_2","14_2","15_2","16_2","19_2","20_2","40_2","45_2","48_2","gene_id"
"128",67.9994533756123,-3.19187191060478,0.341057578409987,-9.35874794363261,8.0687139863881e-21,6.88099928759177e-17,"CvsHigh",19,81,34,18,55,73,56,54,89,11,149,"Montipora_capitata_PredGene_adi2mcaRNA8620_R1"
"129",40.3305184143875,-2.09626653985885,0.420821037924002,-4.9813729612953,6.31347253921863e-07,0.000387373397415409,"CvsHigh",11,57,25,31,20,39,47,26,48,21,72,"Montipora_capitata_PredGene_adi2mcaRNA12026_R0"
"130",1679.22618887576,1.53972851748428,0.251593800168767,6.11989848895897,9.36349880082303e-10,1.14074168247741e-06,"CvsHigh",6170,1080,3966,4387,767,705,1159,1191,882,2047,668,"Montipora_capitata_PredGene_g27724"
"131",53.5958215837039,-1.73540330754795,0.422165038783633,-4.11072246187911,3.94423063401136e-05,0.0112121329489496,"CvsHigh",43,103,26,43,26,37,40,62,46,17,93,"Montipora_capitata_PredGene_g61660"
"132",72.564166517921,-2.01373848108517,0.438185869826195,-4.59562623934886,4.31451481669276e-06,0.0018868811465003,"CvsHigh",72,54,29,38,68,79,47,75,155,36,55,"Montipora_capitata_PredGene_adi2mcaRNA26986_R2"
"133",97.8622859266214,1.45500458652463,0.365524325130828,3.98059578115315,6.87427587997113e-05,0.0163694215376576,"CvsHigh",233,106,245,332,44,50,76,33,49,124,35,"Montipora_capitata_PredGene_g36664"
"134",51.6620513476617,-1.2686510731268,0.268277324567789,-4.72887924900355,2.25762597000552e-06,0.00106961301512262,"CvsHigh",53,45,64,57,29,50,42,47,73,24,70,"Montipora_capitata_PredGene_g40719"
"135",102.715167622297,2.94796390273888,0.653403372478495,4.5117059796564,6.430829091644e-06,0.00249282320425182,"CvsHigh",390,15,373,155,9,11,52,23,14,436,57,"Montipora_capitata_PredGene_g29444"
"136",294.433892607698,-4.81093352734454,0.971221150028849,-4.95348925134264,7.28943866884092e-07,0.000428719537709485,"CvsHigh",17,351,8,5,325,105,117,402,579,59,635,"Montipora_capitata_PredGene_g66821"
"137",15.7534197595877,-2.71249215193627,0.652797176494673,-4.15518364601628,3.25026373967486e-05,0.00972570146384113,"CvsHigh",7,11,11,14,7,31,18,9,11,0,39,"Montipora_capitata_PredGene_g41994"
"138",61.6151817127196,-2.38227566136808,0.656685679841449,-3.62772591895602,0.000285928552136619,0.043163854033813,"CvsHigh",9,49,18,94,29,108,99,35,75,12,75,"Montipora_capitata_PredGene_g32819"
"139",2442.85667956605,-0.848488828523774,0.221380740926157,-3.83271293145954,0.000126737817170082,0.0248464391914129,"CvsHigh",3702,1498,2546,3578,1443,2606,2141,1483,3336,2173,2872,"Montipora_capitata_PredGene_g60874"
"140",34.7481775450266,-2.31168186366529,0.612485417669534,-3.77426432854692,0.000160480535087214,0.0300786374334892,"CvsHigh",0,47,21,16,27,37,34,37,37,19,48,"Montipora_capitata_PredGene_g67062"
"141",61.0354791885978,1.47239485525273,0.383116680769682,3.84320216048721,0.000121439354431863,0.0243678779904689,"CvsHigh",184,35,92,147,18,30,35,34,31,181,33,"Montipora_capitata_PredGene_g3562"
"142",869.495456393864,1.14828453083056,0.29641570652593,3.87389907332765,0.000107107784473112,0.0222784191704073,"CvsHigh",2948,498,1167,2886,390,515,619,484,510,1318,468,"Montipora_capitata_PredGene_g51187"
"143",1323.2900181037,1.3965636389616,0.374702125693522,3.72713028082441,0.000193672360611744,0.0340543895112773,"CvsHigh",4471,541,1874,6024,569,748,887,723,792,1724,518,"Montipora_capitata_PredGene_g51186"
"144",176.503596004498,-1.53990762361909,0.366096220299662,-4.20629205720459,2.59594716853914e-05,0.00835405186917047,"CvsHigh",249,105,87,133,144,229,131,207,216,89,207,"Montipora_capitata_PredGene_g41734"
"145",65.7622849514976,-1.30011244690435,0.345076971957408,-3.76760129639951,0.000164823667757138,0.0305568747528885,"CvsHigh",56,57,93,54,45,85,39,41,54,54,129,"Montipora_capitata_PredGene_g67655"
"146",1020.6980525005,1.62425474019911,0.161478792652793,10.0586257397375,8.41649742956529e-24,1.43551780158666e-19,"CvsHigh",2812,450,2893,3440,307,466,345,371,548,2594,581,"Montipora_capitata_PredGene_adi2mcaRNA15384_R0"
"147",30.2090528545957,-1.80175103070106,0.38773667598465,-4.646841896309,3.37055291697061e-06,0.00151284606715397,"CvsHigh",25,21,18,27,26,37,25,42,36,7,33,"Montipora_capitata_PredGene_adi2mcaRNA4201_R8"
"148",73.7681204268675,-2.08212128142156,0.443461360247303,-4.69515828901178,2.66400353748086e-06,0.00122803363068307,"CvsHigh",63,76,27,83,50,116,79,55,81,10,95,"Montipora_capitata_PredGene_g36718"
"149",164.790837028336,-0.92206098750012,0.250446897637562,-3.68166264464771,0.000231717893036986,0.0380017344580657,"CvsHigh",163,138,184,190,133,140,113,109,199,174,236,"Montipora_capitata_PredGene_g43085"
"150",1694.80006163767,-1.87518715817811,0.325341060763531,-5.76375805063555,8.22613201357741e-09,8.02705961132214e-06,"CvsHigh",676,2029,1284,1818,1052,2101,1756,990,1843,751,2808,"Montipora_capitata_PredGene_g63102"
"151",702.883996721443,0.723467223105343,0.174427221303114,4.14767384184906,3.35870420784495e-05,0.00975865908591308,"CvsHigh",1751,471,1496,1906,325,531,477,413,437,901,498,"Montipora_capitata_PredGene_g23310"
"152",69.3666478499949,-2.78344493743756,0.583042664673392,-4.77399872442746,1.80603525432348e-06,0.000880106779935464,"CvsHigh",34,61,38,45,70,83,50,61,123,0,97,"Montipora_capitata_PredGene_g36333"
"153",514.504239209492,-0.988859316116855,0.249553258404314,-3.96251815119461,7.41633667121456e-05,0.0165202232253757,"CvsHigh",633,640,647,581,267,439,428,364,531,304,789,"Montipora_capitata_PredGene_g43715"
"154",401.200529969516,0.81276402179202,0.208616311663256,3.89597541684068,9.78043094480737e-05,0.0208518787743293,"CvsHigh",911,232,770,1143,206,266,277,186,283,700,274,"Montipora_capitata_PredGene_g50913"
"155",2799.81039710439,1.76674632884349,0.346502999235083,5.09879086975767,3.41829953220033e-07,0.000242927153421703,"CvsHigh",6081,827,5857,11744,824,1479,1243,723,1310,9119,1284,"Montipora_capitata_PredGene_g22281"
"156",67.4354282519657,2.92731647897494,0.460505201805565,6.35675008120953,2.06066842267653e-10,3.19516005610645e-07,"CvsHigh",137,20,243,383,12,9,26,11,13,192,31,"Montipora_capitata_PredGene_g55946"
"157",596.829467520105,2.20353246117546,0.54300396272882,4.05804121594581,4.94860356518735e-05,0.0131880285012243,"CvsHigh",1125,334,782,3882,123,235,371,607,206,925,111,"Montipora_capitata_PredGene_g57753"
"158",254.298702921435,0.702364179983479,0.190256647318831,3.69166696607694,0.00022278906734788,0.0372538267910338,"CvsHigh",628,168,449,622,132,175,183,139,171,407,185,"Montipora_capitata_PredGene_g22616"
"159",109.8258846057,1.16900115600087,0.312017271884955,3.74659117086281,0.000179253872761454,0.0326775675616467,"CvsHigh",317,135,261,275,48,46,54,72,64,122,64,"Montipora_capitata_PredGene_g30681"
"160",1020.89736428074,0.685400482557954,0.180008006382077,3.80761109649286,0.000140315708374889,0.0271957354777512,"CvsHigh",2061,744,1981,2930,506,665,682,564,820,1550,667,"Montipora_capitata_PredGene_g2532"
"161",325.178682717043,0.78607923832816,0.214653250785069,3.66208867302576,0.000250167230653436,0.0398771241684581,"CvsHigh",710,210,618,705,169,181,220,186,240,651,239,"Montipora_capitata_PredGene_g10736"
"162",80.8935219444812,-1.92435386869598,0.472122239446588,-4.07596530710282,4.5823851019374e-05,0.0126059935965555,"CvsHigh",32,96,103,53,58,43,60,68,125,22,162,"Montipora_capitata_PredGene_g56911"
"163",16.7888235517263,-1.73607109697131,0.410636676203256,-4.22775460054618,2.36035020130772e-05,0.00774194866028931,"CvsHigh",14,18,9,14,11,20,19,17,16,6,22,"Montipora_capitata_PredGene_g21181"
"164",127.567876354046,-1.08538323744018,0.259955577545479,-4.17526428049152,2.97640310685721e-05,0.00906527346259937,"CvsHigh",133,144,171,145,98,114,77,104,144,62,181,"Montipora_capitata_PredGene_g31443"
"165",117.556828801501,-0.863826093874069,0.217535679584142,-3.97096281182667,7.15827535030993e-05,0.0165202232253757,"CvsHigh",154,130,140,170,70,126,73,102,118,71,147,"Montipora_capitata_PredGene_g22815"
"166",34.4947092777215,-1.28785082990465,0.322060904871479,-3.99878038726426,6.36697232428572e-05,0.0155135828518596,"CvsHigh",34,41,40,40,22,34,18,32,47,15,46,"Montipora_capitata_PredGene_adi2mcaRNA12_R8"
"167",969.694294375853,0.538820440813931,0.144909264499989,3.7183298298638,0.00020054431710807,0.034902896659135,"CvsHigh",2026,833,2036,2293,497,587,647,559,716,1262,844,"Montipora_capitata_PredGene_g48085"
"168",48.3674341242371,-2.02520153190559,0.329541766163305,-6.14550791386485,7.97080387533313e-10,1.04576946844371e-06,"CvsHigh",24,59,18,34,27,50,57,51,47,25,75,"Montipora_capitata_PredGene_g3686"
"169",41.9748118015189,-3.12012909221291,0.347717013495719,-8.97318500709868,2.88061681218144e-19,1.22829500871417e-15,"CvsHigh",17,49,9,15,23,49,50,48,55,7,66,"Montipora_capitata_PredGene_g64908"
"170",161.336593030947,-4.13969889031779,1.0140876755705,-4.08219031750769,4.46132385660639e-05,0.0124741540488981,"CvsHigh",0,246,15,85,92,200,155,106,191,14,393,"Montipora_capitata_PredGene_g518"
"171",75.3653619017043,2.02226505711371,0.49968590268457,4.04707246341964,5.18621899122069e-05,0.0134024471385242,"CvsHigh",96,56,212,152,21,20,36,39,34,299,32,"Montipora_capitata_PredGene_g26572"
"172",542.484538474045,1.95799297339565,0.457387958841252,4.28081442798809,1.86210588125437e-05,0.0064816485531989,"CvsHigh",2421,256,626,1747,233,182,553,409,242,683,123,"Montipora_capitata_PredGene_g24972"
"173",31.6373954566268,-2.16860485131056,0.407888981521261,-5.31665465250505,1.05692394028181e-07,8.58423558354601e-05,"CvsHigh",18,42,26,18,24,26,27,33,45,3,46,"Montipora_capitata_PredGene_g21615"
"174",334.838647004211,-3.9783878022579,0.640610114444543,-6.21031062818522,5.28799670320472e-10,7.51600598082164e-07,"CvsHigh",142,639,33,15,225,361,250,439,285,11,607,"Montipora_capitata_PredGene_g6064"
"175",330.683210481498,1.12604875070903,0.304369179417194,3.69961489814833,0.000215926867481498,0.0365376704624722,"CvsHigh",1065,204,504,1024,150,222,185,261,197,485,137,"Montipora_capitata_PredGene_g27898"
"176",147.318827459617,1.00120876133725,0.246642855786819,4.05934628896215,4.92102891959051e-05,0.0131880285012243,"CvsHigh",424,92,239,385,69,92,87,95,99,274,80,"Montipora_capitata_PredGene_adi2mcaRNA26447_R5"
"177",628.761921320123,0.59690274024301,0.164644122029963,3.62541178442059,0.000288501369597484,0.043163854033813,"CvsHigh",1689,329,1419,1596,249,471,390,314,480,881,546,"Montipora_capitata_PredGene_g24884"
"178",328.401431190831,-2.74218831400569,0.307493581737887,-8.91787171136203,4.75334593256221e-19,1.62146136451562e-15,"CvsHigh",120,362,126,79,275,502,364,287,350,122,421,"Montipora_capitata_PredGene_g54997"
"179",111.751748447502,-0.99767346532422,0.237813472463356,-4.19519321167958,2.72639081504009e-05,0.00861135587802293,"CvsHigh",107,130,139,140,90,95,72,88,134,65,137,"Montipora_capitata_PredGene_adi2mcaRNA31183_R2"
"180",557.221122506601,0.864332260152626,0.213994850393917,4.03903298869847,5.36720170362484e-05,0.0136631331726903,"CvsHigh",1533,374,1273,1611,294,329,341,341,412,580,341,"Montipora_capitata_PredGene_g55802"
"181",289.651168101481,-2.58694440135161,0.527880833177897,-4.90062195624331,9.55337317921335e-07,0.000543141109815543,"CvsHigh",125,420,213,145,232,338,225,263,336,11,466,"Montipora_capitata_PredGene_g25159"
"182",92.1763082091228,-3.36197211462528,0.472112020004055,-7.12113221475786,1.07044043806103e-12,2.60820458736698e-09,"CvsHigh",38,88,16,22,103,86,68,160,129,3,100,"Montipora_capitata_PredGene_g28510"
"183",38.6204870728771,-2.5327333068623,0.439802168352778,-5.75880131821161,8.4713340175773e-09,8.02705961132214e-06,"CvsHigh",11,61,22,24,21,50,35,34,27,9,79,"Montipora_capitata_PredGene_adi2mcaRNA5341_R0"
"184",98.9456474722352,0.771178296538708,0.214984182056536,3.58713971028764,0.000334325213743289,0.0491573348759098,"CvsHigh",252,76,210,250,47,69,59,66,73,129,56,"Montipora_capitata_PredGene_adi2mcaRNA29406_R1"
"185",50.9054367734939,-1.11354827429644,0.257273341657997,-4.32826917519001,1.50285726805848e-05,0.00545377309872457,"CvsHigh",51,43,51,56,33,62,48,52,47,32,58,"Montipora_capitata_PredGene_g56282"
"186",1017.2050019017,1.04145716651525,0.262916088204524,3.9611770189776,7.45812141389497e-05,0.0165202232253757,"CvsHigh",3394,639,1529,2372,590,597,726,788,569,1410,531,"Montipora_capitata_PredGene_g32152"
"187",1800.91825461499,0.885544094939295,0.223315626465115,3.96543721080634,7.32615363670225e-05,0.0165202232253757,"CvsHigh",3694,1025,3426,5323,701,1084,1024,861,1229,4045,1468,"Montipora_capitata_PredGene_g33208"
"188",4798.35082682561,2.07644062186565,0.455279893499285,4.56080018361038,5.09590557957078e-06,0.00204098555212331,"CvsHigh",19264,1542,6874,17888,1893,2121,3636,3785,1838,8279,859,"Montipora_capitata_PredGene_g41407"
"189",309.895601890962,2.42009661688358,0.541965824571222,4.46540447231751,7.99176253378597e-06,0.00302905559502786,"CvsHigh",1141,120,258,1700,137,101,263,147,116,525,42,"Montipora_capitata_PredGene_g41405"
"190",33.7457387745034,-1.35121144452947,0.347818578864434,-3.8848167597629,0.000102407096562668,0.0215636473947268,"CvsHigh",31,36,36,40,21,60,21,17,34,24,41,"Montipora_capitata_PredGene_adi2mcaRNA6000_R0"
"191",95.3387217355529,0.88831900842189,0.244136131963193,3.63862162179179,0.000274101175173509,0.0421177445383728,"CvsHigh",292,51,200,196,43,56,54,58,67,172,70,"Montipora_capitata_PredGene_g25681"
"192",129.450624030481,-1.37132090777023,0.341044581770755,-4.02094324633491,5.79655703376645e-05,0.014328416922887,"CvsHigh",168,121,92,104,94,105,91,188,138,44,181,"Montipora_capitata_PredGene_g59546"
"193",89.7292519951418,-1.09917120319562,0.303037418404449,-3.62717980169897,0.000286533771308301,0.043163854033813,"CvsHigh",73,111,107,145,53,80,63,68,103,43,133,"Montipora_capitata_PredGene_g546"
"194",545.711281752164,0.585538870655786,0.159438872162525,3.67249757047274,0.00024019143555392,0.0390162392838824,"CvsHigh",1145,318,1101,1360,270,399,336,295,390,941,468,"Montipora_capitata_PredGene_adi2mcaRNA9790_R0"
"195",491.889637781014,0.647606164617925,0.152178275938431,4.25557564392394,2.08511852378405e-05,0.00711275630833214,"CvsHigh",1083,307,1011,1181,244,335,330,269,350,815,395,"Montipora_capitata_PredGene_g6322"
"196",33.621471798793,-1.19864620575513,0.320999110131416,-3.73411068106826,0.000188379643095356,0.0334687832566083,"CvsHigh",44,30,37,42,18,27,25,26,57,17,46,"Montipora_capitata_PredGene_g71411"
"197",625.225191065038,0.81047151240387,0.209643344684832,3.86595393057813,0.000110655826425324,0.02273910572904,"CvsHigh",1604,329,1269,1779,299,448,440,290,423,979,428,"Montipora_capitata_PredGene_g47600"
"198",28.5495877647328,-1.29934910244624,0.343001843089902,-3.78816944754924,0.000151761334815824,0.0290836104114461,"CvsHigh",38,31,23,19,19,25,24,25,34,18,41,"Montipora_capitata_PredGene_g33707"
"199",987.955318921618,1.19371936751549,0.260550369716088,4.5815301233932,4.61586098647213e-06,0.00192409946585848,"CvsHigh",1984,441,2220,2837,460,529,569,437,580,2498,674,"Montipora_capitata_PredGene_g23209"
"200",225.357169676968,0.745150172847772,0.2021064478028,3.68691934843578,0.000226985256265815,0.0375869954453373,"CvsHigh",559,132,405,588,132,114,150,142,176,335,172,"Montipora_capitata_PredGene_g15440"
"201",91.6285535103079,1.59453433893225,0.304826616134707,5.23095508899921,1.68636479497011e-07,0.000130739263377319,"CvsHigh",220,38,226,307,35,45,53,28,39,242,55,"Montipora_capitata_PredGene_g18352"
"202",338.569761354664,0.660491196833898,0.176346510757959,3.74541687269585,0.000180094474131964,0.0326775675616467,"CvsHigh",795,247,881,751,162,229,212,207,225,412,274,"Montipora_capitata_PredGene_g3118"
"203",14.1256988552797,-2.20933093711047,0.515319758050995,-4.28730104482398,1.80857116760313e-05,0.00642645621554978,"CvsHigh",9,17,6,10,14,11,16,15,16,0,19,"Montipora_capitata_PredGene_g71443"
"204",50.0495870981751,-3.66956557693475,0.560377952390625,-6.54837607596808,5.81660939094884e-11,1.10231210857804e-07,"CvsHigh",11,31,0,21,49,83,51,51,65,11,75,"Montipora_capitata_PredGene_g29986"
"205",37.5835298306989,2.08746508722518,0.515684721343117,4.04794829249218,5.16685567916673e-05,0.0134024471385242,"CvsHigh",143,11,57,77,11,13,12,13,18,160,15,"Montipora_capitata_PredGene_g33968"
"206",91.543037892197,1.1634029014793,0.323831725813897,3.59261557389189,0.00032737537793549,0.0485540386614584,"CvsHigh",297,68,185,193,31,37,48,72,41,168,81,"Montipora_capitata_PredGene_adi2mcaRNA33132_R8"
"207",2839.96325827888,1.05412424521548,0.23010257925504,4.5811057339219,4.62523910062135e-06,0.00192409946585848,"CvsHigh",7434,1668,4670,8055,1330,1718,2066,1783,1773,5202,1502,"Montipora_capitata_PredGene_g27090"
"208",325.777878388171,0.723505894323543,0.174485203998447,4.14651717018929,3.37570875978466e-05,0.00975865908591308,"CvsHigh",751,249,596,784,161,184,206,184,231,564,266,"Montipora_capitata_PredGene_g69559"
"209",44.6175336951533,1.19268738599946,0.285206220406292,4.18184212216835,2.89156735653109e-05,0.00896701324236261,"CvsHigh",143,25,90,128,18,24,26,22,30,81,25,"Montipora_capitata_PredGene_g42570"
"210",548.673358547113,1.44378759547366,0.299302488799298,4.82384092850568,1.40819740234178e-06,0.000719045218036458,"CvsHigh",1637,234,987,2350,248,292,379,270,273,818,273,"Montipora_capitata_PredGene_adi2mcaRNA26720_R3"
"211",186.337345474646,1.02883900111922,0.183179474624465,5.61656268109971,1.9479360608917e-08,1.66119987272844e-05,"CvsHigh",447,168,420,418,102,83,110,124,121,291,115,"Montipora_capitata_PredGene_g70475"
"212",47.4544066068938,1.14266460273736,0.305372744168234,3.74186833815086,0.00018265721026655,0.0327936987190134,"CvsHigh",99,21,147,145,21,34,15,19,31,102,27,"Montipora_capitata_PredGene_g37834"
"213",24.3642797088182,1.31576379141465,0.359541766426146,3.65955756543495,0.000252651084368645,0.0399001564351074,"CvsHigh",79,12,59,64,11,9,9,13,18,50,15,"Montipora_capitata_PredGene_adi2mcaRNA25316_R5"
"214",40.5611100083613,2.09088576211133,0.433326153948061,4.82520093251041,1.39862190512836e-06,0.000719045218036458,"CvsHigh",236,11,90,113,13,15,18,17,18,71,15,"Montipora_capitata_PredGene_adi2mcaRNA25316_R4"
"215",3906.8946893921,2.69772113299002,0.414193945796039,6.51318340205402,7.35745856927186e-11,1.25488813357501e-07,"CvsHigh",14982,426,13843,23132,948,1560,1008,544,799,6991,1156,"Montipora_capitata_PredGene_g18784"
"216",356.44462098112,3.95113423203793,1.01314620163445,3.8998658097556,9.62460172410489e-05,0.0207793932919409,"CvsHigh",554,59,2269,69,47,19,20,32,42,2100,99,"Montipora_capitata_PredGene_g18788"
"217",37.1305150601787,-1.54997666069958,0.321551385617445,-4.82030782645613,1.43336875077624e-06,0.000719045218036458,"CvsHigh",19,48,24,36,26,31,31,45,36,20,53,"Montipora_capitata_PredGene_g12169"
"218",461.938830677653,-4.72041191506315,0.567271002270047,-8.32126425671944,8.70299723536133e-17,2.47397201410538e-13,"CvsHigh",8,647,76,103,325,693,544,299,546,18,867,"Montipora_capitata_PredGene_adi2mcaRNA4923_R2"
"219",17.8717819624003,-2.21714146363543,0.436190470678793,-5.08296630182028,3.71585645517377e-07,0.000253510590797775,"CvsHigh",9,15,8,9,13,16,15,25,26,9,26,"Montipora_capitata_PredGene_g44936"
"220",186.717936654332,-1.52943072875012,0.225631527616109,-6.7784442400811,1.21476842027109e-11,2.58988627201797e-08,"CvsHigh",155,197,168,200,124,208,158,185,201,63,264,"Montipora_capitata_PredGene_g43717"
"221",25.5999612610378,-1.64064856771734,0.413819262365339,-3.96465007051533,7.35036931217456e-05,0.0165202232253757,"CvsHigh",24,29,13,25,11,32,21,38,29,9,27,"Montipora_capitata_PredGene_g26775"
"222",21.3763127182388,-2.85661826116617,0.472445476233012,-6.04645065911749,1.48071550837306e-09,1.68367224738739e-06,"CvsHigh",7,32,10,12,18,25,15,23,28,0,30,"Montipora_capitata_PredGene_adi2mcaRNA13127_R1"
"223",205.397008831419,-0.731399558416432,0.167590113572553,-4.36421661651178,1.27579112631709e-05,0.00473041161966616,"CvsHigh",294,183,281,276,134,196,154,166,227,137,240,"Montipora_capitata_PredGene_adi2mcaRNA39968_R0"
"224",858.18051207082,0.689084152666435,0.189258046279614,3.64097678387934,0.000271605630052586,0.0421136875106991,"CvsHigh",1937,507,1754,2159,446,618,592,407,622,1435,616,"Montipora_capitata_PredGene_g15708"
"225",372.743380027237,1.03829187953379,0.284715624156114,3.64676818355594,0.000265559298407059,0.0415539393911082,"CvsHigh",1069,232,740,1203,185,229,325,198,206,389,212,"Montipora_capitata_PredGene_g31904"
"226",63.3439453471004,3.59136706150556,0.397578704303244,9.03309715191971,1.66880406772468e-19,9.48770739303737e-16,"CvsHigh",172,13,346,281,6,11,9,7,9,188,14,"Montipora_capitata_PredGene_g43721"
"227",203.198645460427,0.798911223107039,0.198444685026075,4.02586354480628,5.67666025635855e-05,0.0142383996077134,"CvsHigh",480,105,413,563,83,146,123,99,142,391,151,"Montipora_capitata_PredGene_g61994"
"228",101.358449774252,-0.759836877828324,0.204511690697938,-3.71537135718366,0.000202905476063409,0.0349571292902778,"CvsHigh",117,88,142,147,76,95,66,87,113,70,119,"Montipora_capitata_PredGene_g45560"
"229",219.248918234482,1.0373528601155,0.206947795861892,5.01263062887505,5.36909018586306e-07,0.000352212316192617,"CvsHigh",610,149,520,625,92,132,137,82,141,352,144,"Montipora_capitata_PredGene_g22617"
"230",36.1918559570561,-1.5602888248091,0.425939060290317,-3.6631738440368,0.000249109349224782,0.0398771241684581,"CvsHigh",19,29,25,32,18,27,29,58,58,26,42,"Montipora_capitata_PredGene_g52059"
