"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","20_T12_Mc_PWC","21_T33_Mc_EOU","22_ctl2_Mc_TWF_1","28_ctl1_Mc_GBM_1","29_T23_Mc_PND","33_T43_Mc_RFV","34_T22_Mc_SVS","39_T13_Mc_FJE","42_ctl3_Mc_MGR_1","46_T41_Mc_QYH_1","49_T31_Mc_SWQ","55_T32_Mc_TWP","56_T42_Mc_JAW","58_T21_Mc_EAH","61_T11_Mc_RAP","gene_id"
"1",24.3794293136163,-1.70473813835502,0.38069754893032,-4.47793305511153,7.53692270630347e-06,0.00676931171089288,"CvsT1",31,20,12,26,24,32,14,27,17,9,22,38,21,32,32,"STRG.15869"
"2",48.3775175556967,2.642152980966,0.425552325630858,6.20876170057148,5.34037312230422e-10,1.36243599096225e-06,"CvsT1",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"Mcavernosa30573"
"3",80.8354241079748,2.45473416846363,0.424001941201887,5.78944087261813,7.0621110826352e-09,1.50140481616824e-05,"CvsT1",23,21,285,435,28,46,26,40,546,39,39,43,24,52,55,"Mcavernosa30572"
"4",43.9545456035024,4.50625649729423,0.611003547236697,7.37517239903772,1.64132519978368e-13,1.45924482288037e-09,"CvsT1",7,7,98,367,13,25,8,3,471,20,6,11,8,21,11,"Mcavernosa30575"
"5",67.2133170145486,3.59045148677925,0.489776631340087,7.33079378849771,2.28793481166567e-13,1.45924482288037e-09,"CvsT1",13,19,179,474,23,32,13,19,622,36,12,29,21,34,21,"Mcavernosa30574"
"6",189.25501905301,4.6748932031099,1.04712805954953,4.46449043216456,8.02595349138351e-06,0.00676931171089288,"CvsT1",51,13,1525,2738,15,27,68,22,12,33,16,18,47,300,13,"Mcavernosa05196"
"7",261.992297906827,-1.1566599803894,0.245335108147019,-4.7146125522983,2.42171112623061e-06,0.00308913471261977,"CvsT1",325,252,156,352,123,328,221,292,286,198,285,324,216,259,274,"Mcavernosa30729"
"8",40.7448605394761,-3.56392720735876,0.791478035178548,-4.50287569452864,6.70400991131742e-06,0.00676931171089288,"CvsT1",34,28,8,24,13,18,15,115,9,29,16,19,17,176,64,"Mcavernosa03628"
"9",62.8032387982434,-2.06582047765502,0.431381370647421,-4.78884953829743,1.67740186661444e-06,0.0023774375789482,"CvsT1",78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,"Mcavernosa26093"
"10",328.905102243987,-2.1903986648109,0.489426589964622,-4.47543862496158,7.62546022416995e-06,0.00676931171089288,"CvsT1",422,347,137,206,310,521,219,320,124,60,560,390,281,353,368,"Mcavernosa24709"
"11",41.0754131452848,-2.68085768703077,0.604112383472375,-4.43768040579053,9.09334996496266e-06,0.00682322189135669,"CvsT1",37,40,6,31,25,64,49,33,7,11,31,110,27,57,56,"Mcavernosa07006"
"12",41.1807778506932,3.75329406219793,0.842978625751537,4.45241901460048,8.49082685593337e-06,0.00676931171089288,"CvsT1",7,8,135,167,11,21,0,14,363,34,8,20,34,43,5,"Mcavernosa13956"
"13",48.8311865525838,4.51229020930242,0.623908042428111,7.23230011868671,4.74881291238108e-13,2.01919525034443e-09,"CvsT1",8,10,112,405,16,31,8,3,509,22,6,15,8,24,12,"Mcavernosa30571"
"14",54.0972095167914,3.78671249559694,0.559207440532592,6.77157029954834,1.27392032804921e-11,4.06253192614892e-08,"CvsT1",12,12,127,404,14,26,8,11,558,32,10,16,10,26,17,"Mcavernosa30570"
"15",67.921375309079,-1.41125296576557,0.312234498135292,-4.51984958162461,6.18835838815787e-06,0.00676931171089288,"CvsT1",109,63,46,77,54,84,55,65,50,22,64,78,63,109,67,"Mcavernosa08717"
"16",136.669690118324,-2.29551409666124,0.422600060806472,-5.43188302500616,5.57624728725876e-08,8.89132629953409e-05,"CvsT1",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,"Mcavernosa18547"
"17",656.156600845764,-1.98069176638644,0.359095715658694,-5.51577665791203,3.47243015546326e-08,6.32775986615563e-05,"CvsT1",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540,"Mcavernosa12043"
"18",60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1",90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,"Mcavernosa01252"
"19",105.239932423156,-5.02055142972556,1.19114904891416,-4.21488094567362,2.49909986787955e-05,0.0177102877303731,"CvsT1",40,48,22,33,9,37,97,628,3,0,49,50,58,128,155,"Mcavernosa26827"
"20",24.3794293136163,-1.50569222940938,0.390618603786659,-3.85463522426527,0.000115902308674709,0.03716600698169,"CvsT2",31,20,12,26,24,32,14,27,17,9,22,38,21,32,32,"STRG.15869"
"21",1104.84501549221,-0.991656754989946,0.260593417682122,-3.80537913739477,0.000141587140481008,0.0411788088105928,"CvsT2",1233,804,1036,2273,1463,1053,888,828,1305,738,509,1113,1047,1634,1061,"Mcavernosa24806"
"22",48.3775175556967,2.42937633581986,0.425734666869182,5.70631551732749,1.15447907174855e-08,2.40631921188122e-05,"CvsT2",23,14,135,290,14,32,13,16,320,39,12,34,25,40,23,"Mcavernosa30573"
