"","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1","Treatment_Compare"
"plut2.m8.21690",15,26,16,3,27,35,36,21,27,13,27,11,"CvsMid"
"plut2.m8.9532",23,15,9,5,26,11,18,12,17,11,19,9,"CvsMid"
"plut2.m8.1221",18,43,15,3,32,18,19,10,12,14,25,14,"CvsMid"
"plut2.m8.31556",16,36,18,0,40,41,29,17,11,15,24,14,"CvsMid"
"plut2.m8.10411",481,199,369,163,242,390,466,384,281,296,540,355,"CvsMid"
"plut2.m8.92",1483,721,594,395,848,711,695,1186,886,662,632,419,"CvsMid"
"plut2.m8.10068",167,29,19,32,22,67,56,89,90,43,11,8,"CvsMid"
"plut2.m8.29685",11,12,12,3,11,21,12,9,6,10,11,8,"CvsMid"
"plut2.m8.29528",10,18,27,2,32,9,25,20,7,21,19,8,"CvsMid"
"plut2.m8.21554",218,83,61,54,155,66,71,120,123,56,97,40,"CvsMid"
"plut2.m8.30338",12,17,8,0,20,14,19,15,7,15,10,8,"CvsMid"
"plut2.m8.33156",25,31,12,3,38,25,26,16,11,14,22,12,"CvsMid"
"plut2.m8.26404",41,47,134,22,19,170,226,11,35,106,104,92,"CvsMid"
"plut2.m8.28828",51,40,33,16,44,32,44,44,23,24,33,16,"CvsMid"
"plut2.m8.7375",247,198,144,92,426,152,180,215,150,121,261,99,"CvsMid"
"plut2.m8.8613",71,22,17,8,101,13,16,44,49,18,72,14,"CvsMid"
"plut2.m8.19607",67,27,23,8,77,36,28,50,30,21,40,11,"CvsMid"
"plut2.m8.20414",179,62,13,21,37,50,45,139,127,22,14,13,"CvsMid"
"plut2.m8.25894",118,145,53,28,125,117,113,87,64,60,103,63,"CvsMid"
"plut2.m8.1212",682,223,85,97,162,170,240,461,413,121,75,53,"CvsMid"
"plut2.m8.5539",69,9,20,17,383,27,20,49,28,24,260,18,"CvsMid"
"jamg1.TU.Sc0000117.30",261,115,143,68,275,170,150,274,145,148,209,73,"CvsMid"
"plut2.m8.33367",25,22,22,5,55,18,23,10,9,16,42,7,"CvsMid"
"plut2.m8.27437",46,22,19,15,37,26,27,33,15,15,26,17,"CvsMid"
"plut2.m8.33216",429,74,56,113,68,69,105,265,228,80,42,37,"CvsMid"
"plut2.m8.33396",31,54,26,12,37,12,41,9,12,21,27,24,"CvsMid"
"plut2.m8.6795",16,20,17,6,23,13,16,19,14,15,16,6,"CvsMid"
"plut2.m8.18568",50,53,49,25,54,22,49,34,25,36,40,23,"CvsMid"
"jamg1.TU.Sc0000020.96",143,62,24,25,146,63,79,70,63,43,74,46,"CvsMid"
"plut2.m8.32952",527,232,56,71,94,218,145,876,370,246,34,34,"CvsMid"
"plut2.m8.16587",39,22,26,15,70,21,20,39,40,15,43,13,"CvsMid"
