"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM","gene_id"
"118",28.2148757275827,-3.342112867859,0.488904249312729,-6.83592517871779,8.14774629295052e-12,6.69670674859688e-09,"CvsT2",36,6,9,24,38,25,41,6,33,37,14,37,13,"Acerv_evm.TU.Segkk1793_pilon.1"
"119",33.6848009571282,-1.35029469356531,0.327025215544503,-4.12902317430492,3.64307687099792e-05,0.00499046333192306,"CvsT2",45,34,39,30,53,26,32,19,25,36,22,49,18,"Acerv_evm.TU.Segkk2792_pilon.2"
"120",283.780118870659,0.996634902134837,0.287947658821401,3.46116688780928,0.00053783928091087,0.0371191216695815,"CvsT2",384,870,449,134,291,218,164,948,250,177,113,293,138,"Acerv_evm.TU.Segkk1509_pilon.11"
"121",79.3767570534739,-2.03781380846874,0.302379050200631,-6.7392691627169,1.59185274603412e-11,1.10707235976112e-08,"CvsT2",85,48,38,70,158,69,99,55,70,86,45,112,37,"Acerv_evm.TU.Segkk1677_pilon.1"
"122",81.736840553775,-1.99751455074068,0.316115153901983,-6.31894588438504,2.63353470328693e-10,1.70069908945837e-07,"CvsT2",112,40,42,81,158,65,91,56,62,103,35,128,39,"Acerv_evm.TU.Segkk3405_pilon.7"
"123",232.324672539613,-5.36757671541,0.367063505779908,-14.6230192620358,2.00316192433335e-48,9.05529347894889e-45,"CvsT2",311,28,12,288,513,246,188,6,152,155,186,521,123,"Acerv_evm.TU.Segkk3394_pilon.16"
"124",143.122136975695,-1.46536989268773,0.395038165144942,-3.7094387884018,0.000207719167603522,0.0189695858010449,"CvsT2",156,92,120,161,94,175,185,216,123,86,99,156,81,"Acerv_evm.TU.Segkk3858_pilon.8"
"125",30.299034222821,-1.2848758047199,0.366316120071165,-3.50756009446236,0.00045223619816296,0.0327093397407306,"CvsT2",41,44,24,27,51,24,45,34,16,22,19,31,18,"Acerv_evm.TU.Segkk1235_pilon.8"
"126",42.8631802728246,1.12830772680238,0.31503952256438,3.58147992867086,0.000341653389459593,0.0270955113517911,"CvsT2",37,168,154,22,41,37,24,106,21,20,23,45,21,"Acerv_evm.TU.Segkk2334_pilon.1"
"127",1208.18730387107,1.08511988995012,0.302007026803291,3.59302861736691,0.00032685667488655,0.026384921407583,"CvsT2",1169,4151,2453,681,1071,1099,584,2533,604,1644,308,1184,797,"Acerv_evm.TU.Segkk2758_pilon.32"
"128",271.500713463636,-0.760589572213085,0.198439990004669,-3.832844237672,0.000126670163595522,0.013316569175199,"CvsT2",265,423,381,227,444,235,281,380,180,143,208,431,132,"Acerv_evm.TU.Segkk893_pilon.2"
"129",381.150039064491,0.730761808023572,0.203867502124055,3.58449385218296,0.000337732519331341,0.0270215903298642,"CvsT2",461,1010,702,213,372,323,250,978,280,348,132,473,202,"Acerv_evm.TU.Segkk2116_pilon.21"
"130",17.6291891737121,-2.11241730063258,0.445574353337097,-4.74088619511376,2.12785436852534e-06,0.000519944090428044,"CvsT2",26,14,7,19,38,16,17,12,9,11,15,29,9,"Acerv_evm.TU.Segkk398_pilon.2"
"131",25.6008276429965,-2.67779784400671,0.551471818682448,-4.85572925630976,1.19944492746231e-06,0.000338880674662086,"CvsT2",22,12,12,22,57,21,58,13,26,15,11,27,13,"Acerv_evm.TU.Segkk2935_pilon.2"
"132",116.828141641518,1.13409951550614,0.306055186446651,3.705539280916,0.000210941433446821,0.019071214997927,"CvsT2",133,305,245,71,202,64,62,380,73,76,26,157,74,"Acerv_evm.TU.Segkk1774_pilon.15"
"133",157.646097848681,-1.53695014783617,0.369362307987448,-4.16109092508812,3.16730940376249e-05,0.00469239903037192,"CvsT2",165,89,257,176,261,106,254,166,123,75,123,178,68,"Acerv_evm.TU.Segkk3493_pilon.1"
"134",208.023736204274,0.696595103154785,0.186555834674042,3.73397650291617,0.000188480086212909,0.017750504785947,"CvsT2",199,528,590,131,237,142,138,525,123,189,97,256,95,"Acerv_evm.TU.Segkk2909_pilon.1"
"135",69.7898485276923,1.12411528709811,0.293821576811052,3.82584321852235,0.000130325217600063,0.0134127809267849,"CvsT2",85,215,200,47,55,48,54,275,38,50,18,57,27,"Acerv_evm.TU.Segkk1386_pilon.25"
"136",552.248506814244,-0.555285452724434,0.161950619145153,-3.42873312652633,0.0006064054888357,0.0400183359457194,"CvsT2",626,1009,1072,498,922,397,628,812,309,270,402,837,207,"Acerv_evm.TU.Segkk2772_pilon.8"
"137",88.6733280049009,-1.5597216979508,0.326637502280138,-4.77508457253973,1.79631746990983e-06,0.00046401446415585,"CvsT2",94,70,71,66,104,81,70,52,55,165,64,149,37,"Acerv_evm.TU.Segkk2181_pilon.1"
"138",79.6404445315258,-1.89511441013334,0.281013986650184,-6.74384372366649,1.54250448563511e-11,1.10707235976112e-08,"CvsT2",86,62,67,89,149,65,92,41,65,88,49,117,28,"Acerv_evm.TU.Segkk3996_pilon.1"
"139",74.9843103016989,-2.14302879285286,0.429306296130823,-4.99184105187178,5.98064642174945e-07,0.000200263052959396,"CvsT2",84,22,77,76,119,54,105,38,68,86,45,100,33,"Acerv_evm.TU.Segkk223_pilon.4"
"140",17.4765982560102,-1.68674303067046,0.446002095047995,-3.7819172811037,0.000155625080245723,0.0152935472880606,"CvsT2",26,14,13,20,40,18,17,15,6,15,12,25,7,"Acerv_evm.TU.Segkk673_pilon.1"
"141",115.796624160812,-1.17152956174827,0.340101951644682,-3.44464227883117,0.000571815603455509,0.0386990602271957,"CvsT2",129,166,161,104,202,67,144,100,28,59,94,356,43,"Acerv_evm.TU.Segkk1991_pilon.4"
"142",550.127254204123,-1.17185597844856,0.321780601742203,-3.6417856517883,0.000270753472610826,0.0224425690980117,"CvsT2",400,889,1206,862,1369,257,830,608,162,145,510,648,116,"Acerv_evm.TU.Segkk2537_pilon.1"
"143",85.4510526741918,-2.39957232164181,0.557127372863897,-4.30704438252042,1.65450422516557e-05,0.00282233447164565,"CvsT2",91,91,82,153,220,58,84,20,15,20,109,173,18,"Acerv_evm.TU.Segkk3052_pilon.15"
"144",73.9053786496837,-1.40790065526919,0.375509720527707,-3.74930548612872,0.000177324973879759,0.016896258873063,"CvsT2",71,97,61,103,82,67,48,53,49,61,48,136,51,"Acerv_evm.TU.Segkk999_pilon.5"
"145",32.0409576000638,-1.54903180305711,0.38681780691551,-4.00455143316464,6.21352716308962e-05,0.00759141879479639,"CvsT2",50,34,38,34,69,18,37,23,13,29,28,45,10,"Acerv_evm.TU.Segkk481_pilon.1"
"146",87.0602308492711,-1.60423426896623,0.357217757129067,-4.49091411876985,7.09181442748492e-06,0.00149109521485793,"CvsT2",74,63,50,79,161,76,112,91,73,99,43,163,29,"Acerv_evm.TU.Segkk3395_pilon.4"
"147",30.4771373417541,-2.52539503522904,0.45232449586878,-5.58314895234341,2.36202279446928e-08,1.25617929910569e-05,"CvsT2",48,19,11,27,58,21,24,9,28,39,27,45,10,"Acerv_evm.TU.Segkk3525_pilon.1"
"148",130.862215388397,-0.702109488195077,0.208050897858228,-3.37470059212873,0.000738960397527248,0.0480643234103874,"CvsT2",176,204,201,129,241,91,123,160,106,84,80,185,47,"Acerv_evm.TU.Segkk1271_pilon.4"
"149",104.277060227824,-3.6622881028626,0.378027973012775,-9.68787593593989,3.39515904114972e-22,7.67390822275866e-19,"CvsT2",110,35,36,108,186,75,283,28,72,50,81,132,38,"Acerv_evm.TU.Segkk119_pilon.17"
"150",42.2659697546918,-1.17053795323026,0.321611058737304,-3.63960728784011,0.000273054153388041,0.0224425690980117,"CvsT2",60,62,52,49,91,34,39,33,20,29,30,60,17,"Acerv_evm.TU.Segkk1593_pilon.6"
"151",114.823764173832,-1.26698942138023,0.340195139735162,-3.72430194730756,0.000195856398953105,0.0182550278653095,"CvsT2",113,135,166,95,130,97,162,128,27,130,111,141,55,"Acerv_evm.TU.Segkk3105_pilon.1"
"152",15.0654175528371,-1.7164905355831,0.493872111979779,-3.47557696404891,0.000509755698630054,0.0362889863883017,"CvsT2",25,9,16,11,19,13,17,8,8,21,11,15,9,"Acerv_evm.TU.Segkk3096_pilon.7"
"153",114.523139997343,-1.29408451542324,0.261588656052554,-4.94702077280925,7.53579373597339e-07,0.000243325397024769,"CvsT2",92,157,200,166,224,73,133,110,53,51,109,152,43,"Acerv_evm.TU.Segkk1350_pilon.5"
"154",13.2240912313041,-2.26525473670649,0.568730345282542,-3.98300311473819,6.80498633585953e-05,0.00809524756085605,"CvsT2",14,7,4,10,14,10,20,11,10,18,9,22,7,"Acerv_evm.TU.Segkk1708_pilon.21"
"155",212.109273438504,1.12074157173849,0.195331601356425,5.73763571258216,9.60073416953046e-09,5.4250148516703e-06,"CvsT2",199,849,693,131,240,115,144,644,123,148,88,234,55,"Acerv_evm.TU.Segkk20_pilon.1"
"156",32.3507213606654,-1.75159610461603,0.364078911408928,-4.81103422836998,1.50151297783239e-06,0.000399269965664194,"CvsT2",58,21,34,32,45,28,31,19,29,13,26,53,17,"Acerv_evm.TU.Segkk3209_pilon.7"
"157",80.2647884288912,-3.06511547176358,0.781137622504096,-3.92391223192876,8.71224866614553e-05,0.00960578538910021,"CvsT2",34,34,41,84,66,70,49,15,13,33,112,302,80,"Acerv_evm.TU.Segkk1795_pilon.7"
"158",63.4572425866223,-1.43986592334125,0.413397450397643,-3.48300629807044,0.000495816700112089,0.0355768157596301,"CvsT2",58,52,46,56,78,54,100,80,72,57,29,79,29,"Acerv_evm.TU.Segkk1416_pilon.3"
"159",24.3065532055215,-1.37262015161961,0.375854671435369,-3.65199705082192,0.000260208873998734,0.0221726030002412,"CvsT2",24,21,23,18,34,23,31,26,23,21,17,31,12,"Acerv_evm.TU.Segkk3598_pilon.1"
"160",13.7001002847416,-2.73627818747322,0.610473315109453,-4.48222407065021,7.38691220519124e-06,0.00150995053038147,"CvsT2",18,7,12,12,25,11,21,0,10,8,12,26,6,"Acerv_evm.TU.Segkk227_pilon.2"
"161",30.4296643857818,-1.68542191178926,0.393333754407131,-4.2849663750056,1.82766828579284e-05,0.00305999055034317,"CvsT2",33,17,32,27,61,22,35,20,25,37,19,46,11,"Acerv_evm.TU.Segkk3387_pilon.12"
"162",333.225012426923,-2.06887464760836,0.407805623196118,-5.07318813162471,3.91205385683813e-07,0.000147370328831973,"CvsT2",235,378,318,304,403,264,715,197,96,169,331,561,199,"Acerv_evm.TU.Segkk1579_pilon.3"
"163",274.159402105037,-1.42542644967917,0.334835938000513,-4.25708918281343,2.07105754521091e-05,0.0032849879414477,"CvsT2",214,230,339,197,481,185,528,387,137,179,232,445,103,"Acerv_evm.TU.Segkk2795_pilon.15"
"164",37.9958038668329,-1.43255447017489,0.361447054664139,-3.96338675800259,7.38939231725422e-05,0.00856506358208915,"CvsT2",51,32,29,33,67,29,59,47,29,23,18,59,20,"Acerv_evm.TU.Segkk3453_pilon.19"
"165",65.739399547516,-1.5177281428251,0.397578006878211,-3.81743485949418,0.000134846374286582,0.0136982704485954,"CvsT2",69,74,66,68,95,70,81,28,49,37,28,162,33,"Acerv_evm.TU.Segkk384_pilon.7"
"166",182.294544540956,0.663422238355554,0.155768697455341,4.25902154407987,2.05323682659195e-05,0.0032849879414477,"CvsT2",225,488,481,117,221,121,143,474,119,117,73,221,82,"Acerv_evm.TU.Segkk3381_pilon.2"
"167",17.5759453097951,-2.27750297286288,0.669656668419502,-3.40100096104196,0.000671395917842947,0.0439861629943339,"CvsT2",24,14,10,16,33,13,12,0,8,27,12,27,13,"Acerv_evm.TU.Segkk3419_pilon.10"
"168",167.849309114953,-1.78591974244075,0.430616413833659,-4.14735640599763,3.3633628023998e-05,0.00470295028445673,"CvsT2",203,184,205,169,334,110,225,46,134,138,135,238,49,"Acerv_evm.TU.Segkk3618_pilon.7"
"169",31.3777855291929,-1.46700321612352,0.400079804127384,-3.66677648056543,0.000245627320378204,0.0213530442648014,"CvsT2",19,29,23,36,44,24,43,43,19,33,19,55,15,"Acerv_evm.TU.Segkk263_pilon.6"
"170",36.2686923431267,-2.72468119556431,0.58525894813549,-4.65551394685133,3.23173528057519e-06,0.000768897859781061,"CvsT2",44,39,6,71,105,24,30,10,15,13,27,71,15,"Acerv_evm.TU.Segkk169_pilon.1"
"171",75.2971231510255,-0.86097256289238,0.250420446274773,-3.4381080926103,0.000585793810043497,0.0392308284192834,"CvsT2",79,143,111,77,158,51,103,110,27,31,59,117,25,"Acerv_evm.TU.Segkk1318_pilon.7"
"172",115.311942577882,-0.973242859666929,0.229162960512113,-4.24694661603259,2.1670356712315e-05,0.00337796025924207,"CvsT2",190,140,150,101,172,104,102,130,63,86,90,152,56,"Acerv_evm.TU.Segkk3940_pilon.21"
"173",36.1003524326306,-3.30114616048314,0.409618370154479,-8.05907742672327,7.68723985997629e-16,1.15833892623409e-12,"CvsT2",33,11,16,51,67,33,38,8,27,22,34,47,24,"Acerv_evm.TU.Segkk3047_pilon.5"
"174",29.3827842412022,1.7923412796887,0.393371269015191,4.55636041792233,5.20475983422011e-06,0.00114771301612644,"CvsT2",18,112,136,10,21,16,20,111,20,23,8,25,9,"Acerv_evm.TU.Segkk3417_pilon.5"
"175",159.768819687523,-1.70383716662866,0.394863411012113,-4.31500392062507,1.59600070740219e-05,0.00277489276838907,"CvsT2",116,153,60,118,271,161,119,90,99,122,107,529,100,"Acerv_evm.TU.Segkk2328_pilon.2"
"176",61.4597688273756,1.3733366820236,0.32565277056597,4.21718101656806,2.4737539131828e-05,0.00379071341170944,"CvsT2",96,226,210,37,74,46,34,187,28,35,17,38,26,"Acerv_evm.TU.Segkk3453_pilon.14"
"177",24.8323641007104,-1.5732386199431,0.393867659585848,-3.99433307521964,6.48766090043203e-05,0.00782065896010747,"CvsT2",40,19,26,19,44,18,32,19,16,25,18,42,7,"Acerv_evm.TU.Segkk1078_pilon.63"
"178",168.120660303619,-0.786410040888889,0.211927182126634,-3.71075589736753,0.000206641291149411,0.0189695858010449,"CvsT2",229,211,265,169,263,118,146,254,98,105,135,252,74,"Acerv_evm.TU.Segkk1929_pilon.4"
"179",752.00053670691,-2.12974089597568,0.566738524952983,-3.75788975374908,0.000171352341581785,0.0166580270993647,"CvsT2",366,681,959,836,624,223,3601,1127,345,202,446,344,88,"Acerv_evm.TU.Segkk4047_pilon.16"
"180",343.786263266439,0.947979774363319,0.266245883557634,3.5605424643424,0.000370089453390819,0.02788315623422,"CvsT2",283,1071,1127,171,327,184,286,958,199,327,141,408,140,"Acerv_evm.TU.Segkk826_pilon.10"
"181",107.517026949897,-3.54881160052354,0.486299196923537,-7.29758885676618,2.9297024895199e-13,2.64874402077494e-10,"CvsT2",134,38,19,85,125,123,233,26,77,49,52,227,71,"Acerv_evm.TU.Segkk2424_pilon.11"
"182",32.4055895391004,-2.16486911605682,0.470308141852638,-4.60308662216428,4.16274987567054e-06,0.000940885540648433,"CvsT2",37,14,35,26,52,23,42,11,26,37,28,62,9,"Acerv_evm.TU.Segkk2725_pilon.8"
"183",32.9700339614744,-2.16947618150166,0.61620632577141,-3.5206976799301,0.000430413036545341,0.0313819698661808,"CvsT2",18,15,24,16,44,19,80,25,23,42,16,62,18,"Acerv_evm.TU.Segkk2716_pilon.12"
"184",66.7552356413428,-2.09192371606665,0.438823199489907,-4.7671219718974,1.86876185332698e-06,0.000469318775442479,"CvsT2",44,43,73,47,120,53,139,43,29,21,62,175,26,"Acerv_evm.TU.Segkk1466_pilon.9"
"185",37.9908337469437,-1.37014355912692,0.355538598065117,-3.85371255493329,0.000116340172144477,0.0123744881924496,"CvsT2",49,64,40,47,45,31,36,29,19,19,37,67,18,"Acerv_evm.TU.Segkk3059_pilon.1"
"186",128.269513075237,-1.17954370528704,0.318676998057492,-3.70137698195036,0.000214432612780886,0.0191949034866534,"CvsT2",206,140,180,121,238,93,112,147,70,49,134,187,55,"Acerv_evm.TU.Segkk575_pilon.2"
"187",1781.45631116872,0.805202760316841,0.179791336200453,4.47854038650175,7.51551530440949e-06,0.00150995053038147,"CvsT2",1871,5915,5070,1052,1953,1006,1377,4667,900,1181,808,2889,689,"Acerv_evm.TU.Segkk1947_pilon.7"
"188",48.2898941543525,-1.42263916838076,0.273426635779674,-5.20300139861692,1.96095393204572e-07,8.44237357125015e-05,"CvsT2",53,42,51,53,97,39,55,50,31,44,32,73,16,"Acerv_evm.TU.Segkk2551_pilon.2"
"189",4342.44419953625,-1.28447808283346,0.369940359988258,-3.47212205468534,0.000516361514460284,0.0364720660330892,"CvsT2",4548,7611,6411,4724,6933,2828,5159,2576,1067,2614,4117,10827,1405,"Acerv_evm.TU.Segkk1079_pilon.5"
"190",116.178810600041,-1.05977051104314,0.214918083584006,-4.93104392785499,8.17913370148824e-07,0.000254991544121225,"CvsT2",152,118,124,107,187,89,106,112,91,126,57,167,65,"Acerv_evm.TU.Segkk3844_pilon.1"
"191",792.833415012836,-0.825526969819148,0.164746853807635,-5.01088154789933,5.41812587197904e-07,0.00019594110403425,"CvsT2",1017,1117,1147,695,1242,644,714,967,455,501,615,1200,434,"Acerv_evm.TU.Segkk338_pilon.10"
"192",444.618313993841,-1.02620193286227,0.287067255317952,-3.57477878041388,0.000350524145822673,0.0271776986700309,"CvsT2",457,739,877,672,925,269,468,513,184,167,403,570,118,"Acerv_evm.TU.Segkk451_pilon.2"
"193",494.415251175838,-0.87286817257862,0.230211512875559,-3.79159218266572,0.000149684568296631,0.0148714085930752,"CvsT2",604,740,852,488,996,368,608,542,226,215,325,838,213,"Acerv_evm.TU.Segkk3450_pilon.3"
"194",32.3489220780501,-1.82067086185947,0.337522374593176,-5.3942227209499,6.88208114024082e-08,3.27478397836407e-05,"CvsT2",45,30,17,32,61,27,40,28,26,18,24,44,16,"Acerv_evm.TU.Segkk2117_pilon.21"
"195",61.9424797486448,0.960815016830059,0.269074743869694,3.57081085728118,0.000355877819815842,0.0271776986700309,"CvsT2",62,190,220,34,64,46,46,154,50,33,25,70,22,"Acerv_evm.TU.Segkk3637_pilon.63"
"196",51.9535074280134,-1.69619769632377,0.333302415696595,-5.08906511457096,3.59833051611068e-07,0.000141445679113725,"CvsT2",75,31,52,39,84,45,42,32,37,53,49,78,25,"Acerv_evm.TU.Segkk966_pilon.1"
"197",73.3939574460158,-0.761060545024546,0.212707814018576,-3.57796232609527,0.000346283348463316,0.0271776986700309,"CvsT2",83,116,109,79,123,60,66,93,44,59,49,94,32,"Acerv_evm.TU.Segkk2521_pilon.10"
"198",68.5659955591582,-1.98183700274194,0.561294061768547,-3.53083550625405,0.000414249280557513,0.0304490060611421,"CvsT2",144,40,66,98,185,54,48,49,16,22,69,117,18,"Acerv_evm.TU.Segkk1656_pilon.3"
"199",21.7020447335453,-1.79285939053511,0.501857795895541,-3.57244503362917,0.000353663730756865,0.0271776986700309,"CvsT2",44,13,19,21,36,12,19,15,17,28,18,27,5,"Acerv_evm.TU.Segkk4281_pilon.1"
"200",270.132645888761,-2.16334884828492,0.577046800485455,-3.74900068151309,0.000177540603134718,0.016896258873063,"CvsT2",150,226,167,254,274,279,232,99,51,225,262,905,204,"Acerv_evm.TU.Segkk2537_pilon.25"
"201",50.5261656932498,1.17024544520593,0.282248922594587,4.14614672200832,3.38117208815051e-05,0.00470295028445673,"CvsT2",68,156,149,29,54,22,34,159,38,35,13,49,25,"Acerv_evm.TU.Segkk2119_pilon.10"
"202",34.3138867237994,-3.08881107955924,0.397207295633342,-7.77632010669434,7.46646331310124e-15,8.43803685171854e-12,"CvsT2",50,10,15,33,65,39,38,6,31,27,24,62,12,"Acerv_evm.TU.Segkk3087_pilon.2"
"203",38.7027136382568,-2.76346370727362,0.689335285226612,-4.00888184095373,6.10069307588636e-05,0.00755566658891625,"CvsT2",13,31,22,16,20,21,189,35,14,28,30,37,10,"Acerv_evm.TU.Segkk3540_pilon.3"
"204",107.723289795647,-1.34404101882597,0.334610814813518,-4.01672916511984,5.90114773891237e-05,0.00741003843159816,"CvsT2",108,110,135,100,164,77,176,161,74,37,101,186,29,"Acerv_evm.TU.Segkk2701_pilon.2"
"205",43.9319593397779,-1.04263354517972,0.282853462707494,-3.68612614885301,0.000227693518306302,0.02018212842164,"CvsT2",61,44,54,33,68,44,40,31,38,42,23,64,23,"Acerv_evm.TU.Segkk4122_pilon.1"
"206",22.3781215413043,-1.9515434920701,0.448397592341291,-4.35226130871976,1.34740531289099e-05,0.00238860616349949,"CvsT2",30,10,17,20,45,23,15,15,10,21,22,33,13,"Acerv_evm.TU.Segkk4263_pilon.5"
"207",33.1644365470079,-1.66367654601781,0.389960677346512,-4.26626745378097,1.98770474996372e-05,0.00326742520807673,"CvsT2",40,29,44,36,53,24,43,18,24,38,25,43,8,"Acerv_evm.TU.Segkk1851_pilon.3"
"208",440.330484410113,2.01562513737583,0.512075925288754,3.93618414347294,8.27874579827249e-05,0.0093560175952727,"CvsT2",992,1267,1655,115,292,258,311,2214,258,244,71,197,92,"Acerv_evm.TU.Segkk3377_pilon.3"
"209",65.430372002291,-1.55995808504783,0.306415695872592,-5.09098621924533,3.56205917764067e-07,0.000141445679113725,"CvsT2",57,51,65,60,129,56,83,53,56,67,40,102,21,"Acerv_evm.TU.Segkk1480_pilon.1"
"210",13.0996152623634,-2.07628911783256,0.523508740144337,-3.96610210798029,7.30575746927478e-05,0.00856506358208915,"CvsT2",12,7,6,12,22,12,18,10,10,13,6,24,8,"Acerv_evm.TU.Segkk1480_pilon.2"
"211",18.5150051134661,-1.78228960219861,0.434795732164726,-4.09914235663053,4.14683926510021e-05,0.00543356141967696,"CvsT2",14,13,15,21,33,17,18,12,16,17,11,29,11,"Acerv_evm.TU.Segkk3158_pilon.3"
"212",31.917429100988,-1.62322400712951,0.409125319190597,-3.96754718173116,7.2616139171394e-05,0.0149209662329221,"CvsT3",56,21,25,41,76,19,43,23,21,16,26,41,8,"Acerv_evm.TU.Segkk4074_pilon.1"
"213",501.414761403948,-6.57140927343474,0.316934901700728,-20.7342556410525,1.70065606168771e-95,1.53756314537186e-91,"CvsT3",799,15,8,471,680,524,537,22,402,449,304,1079,353,"Acerv_evm.TU.Segkk3422_pilon.23"
"214",13.0779986841387,-2.00654063290544,0.545622808647958,-3.67752337531052,0.000235509499515653,0.0422982403036202,"CvsT3",15,5,10,15,22,15,13,9,9,14,6,11,10,"Acerv_evm.TU.Segkk1982_pilon.11"
"215",108.038694294678,-1.18183823321385,0.291386487252983,-4.05591297096688,4.99388527291276e-05,0.0111050162432418,"CvsT3",106,116,145,64,136,116,91,128,94,113,44,123,91,"Acerv_evm.TU.Segkk1895_pilon.6"
"216",34.1379515369695,-1.97350925774918,0.471256484644984,-4.18776042781862,2.81720665807411e-05,0.00707510149879111,"CvsT3",59,14,16,30,52,30,48,33,30,15,31,58,10,"Acerv_evm.TU.Segkk1779_pilon.5"
"217",32.7178511520923,-3.57808552936279,0.539667819677357,-6.63016284999533,3.35316723601489e-11,2.52633208173422e-08,"CvsT3",25,7,6,27,35,30,43,10,35,50,14,39,28,"Acerv_evm.TU.Segkk1268_pilon.2"
"218",94.4218384081348,-1.27508646352707,0.2856988853322,-4.46304318634092,8.0803759064965e-06,0.00251912684726327,"CvsT3",130,106,73,83,125,77,81,117,64,61,55,202,64,"Acerv_evm.TU.Segkk1038_pilon.1"
"219",72.850980799107,1.31526195794399,0.303523000226913,4.33331891474682,1.4687810025186e-05,0.004283628723797,"CvsT3",57,304,211,51,76,36,53,245,31,57,20,109,23,"Acerv_evm.TU.Segkk3047_pilon.14"
"220",16.7543130019435,-1.92582675466436,0.529597611437035,-3.63639622436878,0.00027647895304548,0.0455815873666253,"CvsT3",26,8,13,23,48,12,17,7,9,14,10,23,6,"Acerv_evm.TU.Segkk1022_pilon.1"
"221",77.1896335654137,2.15825799213794,0.285649903872979,7.55560552576858,4.16915640542541e-14,7.53866861229023e-11,"CvsT3",52,433,437,26,65,32,40,315,32,38,26,39,14,"Acerv_evm.TU.Segkk3454_pilon.21"
"222",125.37822177916,2.74200395478654,0.256166383505827,10.7039960406209,9.74815710826668e-27,2.20332721039598e-23,"CvsT3",57,917,634,51,112,32,67,544,28,44,33,100,27,"Acerv_evm.TU.Segkk1157_pilon.2"
"223",1139.0920842611,-2.33350106492859,0.34891360363189,-6.68790508778924,2.26387876613815e-11,1.860702538605e-08,"CvsT3",1663,338,822,1313,2299,1069,1214,352,627,587,1039,2012,590,"Acerv_evm.TU.Segkk3655_pilon.33"
"224",17.3545116190847,-2.42633367432099,0.515149750313678,-4.70995797405236,2.47767875418212e-06,0.000861565139098484,"CvsT3",36,11,5,19,36,14,17,8,7,12,14,32,8,"Acerv_evm.TU.Segkk398_pilon.1"
"225",22.805189001527,-2.43533086151476,0.525455302713822,-4.63470603291467,3.57445068238993e-06,0.00119691143035138,"CvsT3",35,5,7,25,50,15,23,19,23,16,18,39,7,"Acerv_evm.TU.Segkk315_pilon.1"
"226",25.2888475965967,-1.8642515527379,0.391055010633149,-4.76723607177295,1.86770421313628e-06,0.000675436551638603,"CvsT3",38,21,16,30,38,18,24,16,20,27,10,49,13,"Acerv_evm.TU.Segkk2370_pilon.2"
"227",14.9341275232328,-1.92670273900752,0.465111220533226,-4.14245594161037,3.43606391446286e-05,0.00839606860828613,"CvsT3",20,10,11,11,18,12,18,9,11,18,11,18,10,"Acerv_evm.TU.Segkk2199_pilon.3"
"228",270.216302866115,1.45277543901861,0.288776097876386,5.03080223641117,4.88431761362334e-07,0.00021178392070562,"CvsT3",220,1267,861,187,407,189,242,629,66,129,107,355,86,"Acerv_evm.TU.Segkk2762_pilon.14"
"229",40.2324030686657,2.08599047001809,0.544608672092242,3.83025569902195,0.000128010169009961,0.0246242540004054,"CvsT3",37,266,215,31,74,13,12,82,11,15,12,37,5,"Acerv_evm.TU.Segkk2165_pilon.11"
"230",94.0690851613865,-4.3047837196881,0.364606757969853,-11.8066481917596,3.60653921700777e-32,1.08689070203224e-28,"CvsT3",112,10,15,99,178,97,80,8,56,134,48,179,62,"Acerv_evm.TU.Segkk1630_pilon.6"
"231",57.8537555324913,1.55197178030352,0.406952230769431,3.81364608167691,0.000136931524684425,0.0257916232223309,"CvsT3",22,223,182,32,40,29,51,252,32,47,20,58,20,"Acerv_evm.TU.Segkk2261_pilon.8"
"232",51.0954126916286,-1.28090831070642,0.32686749224671,-3.91873875833338,8.90135276747617e-05,0.017883806749056,"CvsT3",57,43,64,35,62,44,45,46,40,76,24,70,33,"Acerv_evm.TU.Segkk2335_pilon.20"
"233",16.8033194983796,-2.97198302222227,0.59091760902446,-5.02943722920812,4.91921505897359e-07,0.00021178392070562,"CvsT3",34,8,12,16,18,17,18,0,12,19,7,24,12,"Acerv_evm.TU.Segkk1945_pilon.2"
"234",28.2148757275827,-3.44992983255853,0.488798293809378,-7.05798255896519,1.68937256430611e-12,2.18194533627022e-09,"CvsT3",36,6,9,24,38,25,41,6,33,37,14,37,13,"Acerv_evm.TU.Segkk1793_pilon.1"
"235",33.6848009571282,-1.40296439839587,0.327783736500225,-4.28015255843819,1.8676524426294e-05,0.00496630756876837,"CvsT3",45,34,39,30,53,26,32,19,25,36,22,49,18,"Acerv_evm.TU.Segkk2792_pilon.2"
"236",79.3767570534739,-1.93463630462102,0.305052798571442,-6.34197199199906,2.26842563176137e-10,1.46491686691104e-07,"CvsT3",85,48,38,70,158,69,99,55,70,86,45,112,37,"Acerv_evm.TU.Segkk1677_pilon.1"
